Nom de la Villa,Localisation,"Type (F3, F5, etc.)",Capacité (personnes),Tarif,Options/Services,Description
Villa F5 La Renée,"Quartier La Renée, Rivière-Pilote",F5,10 personnes ( jusqu’à 60 invités pour fêtes ),"Weekend avec fête: 1400€, Weekend sans fête: 900€, Semaine avec fête: 2000€, Semaine sans fête: 1590€","4 chambres, 2 salles de bain, grande cuisine, grand salon, grande terrasse, jacuzzi, Wi‑Fi","Horaires fêtes: 9h-00h. Caution: 1500€ par chèque. Covoiturage recommandé. Paiement possible en quatre fois par carte bancaire, même si le séjour a commencé."
Villa F7 Baie des Mulets,"Baie des Mulets, Vauclin",F7 (F5 + F3),16 personnes (F5: 10 personnes + F3: 6 personnes),"Base: 2200€/weekend, 4200€/semaine. Fêtes: +330€ (30 invités), +550€ (50 invités), +770€ (80 invités), +1375€ (160 invités)",F5: 4 chambres climatisées + salon avec canapé-lit; F3: salon avec canapé-lit. Parking pour 30 véhicules.,"Check-in: 11h, Check-out: 13h (option late check-out 17h30: +150€). Fêtes autorisées de 9h à minuit. Location possible à la journée (lundi-jeudi) selon disponibilité. Caution: 1500€ par chèque ou empreinte bancaire. Paiement possible en plusieurs fois, sans frais, avec solde 72h avant entrée."
Bas de villa F3 sur Ste Luce,Sainte-Luce,F3 (Bas de villa),Non précisé,"Juil/Août/Déc/Jan: 1390€/semaine ou 570€/weekend (2 nuits), Mai/Juin/Sept: 1030€/semaine ou 470€/weekend",Non précisé,Fêtes et invités ne sont plus acceptés suite aux abus. Caution: 1300€ par chèque + 200€ en espèces. Acompte: 30%. Solde à payer le jour d'arrivée.
Studio Cocooning Lamentin,"Hauteurs de Morne Pitault, Lamentin",Studio,2 personnes,"À partir de 290€, minimum 2 nuits",Bac à punch privé (petite piscine),"Pas d’invités autorisés. Location uniquement à la semaine pendant les vacances scolaires et haute saison touristique. Check-in: 16h, Check-out: 11h (départ tardif possible selon disponibilité). Paiement en plusieurs fois sans frais possible (tout doit être réglé avant entrée)."
Villa Fête Journée Ducos,Ducos,Location à la journée,5 à 30 personnes,"Formule 1 (10h-20h): 30€/personne, Package 15 pers: 375€, 20 pers: 440€, 30 pers: 510€. Formule 2 (13h-18h): 20€/personne, Package 15 pers: 260€, 20 pers: 300€, 30 pers: 375€.","Piscine, espace extérieur","12 places de parking + stationnement supplémentaire possible en bordure de route. Enfants comptés à partir de 6 ans. Paiement possible en plusieurs fois sans frais, mais doit être réglé avant l’entrée ."
Villa Fête Journée Fort de France,Fort de France,Location à la journée,20 à 80 personnes,À partir de 100€/heure,Prestations à la carte,Disponible de 6h à minuit. Paiement possible en plusieurs fois sans frais (tout doit être réglé avant entrée).
Villa Fête Journée Rivière-Pilote,Rivière-Pilote,Location à la journée,Jusqu’à 100 invités,"660€ pour événement privé (anniversaire enfant, enterrement vie célibataire). Devis personnalisé pour mariage, baptême, communion.","Piscine chauffée, cuisine extérieure équipée (four, micro-onde, congélateur, bar office), DJ autorisé, bungalow 2 personnes (130€/nuit), appartement 2 personnes (110€/nuit)",Horaires fête: 13h-20h ou 18h-2h. Caution: 800€.
Villa Fête Journée Rivière Salée,"Quartier La Laugier, Rivière Salée",Location à la journée,De 25 à 100 personnes (selon forfait),Forfait 1 (12h-19h): 400€ (25 pers). Forfait 2 (12h-19h): 550€ (50 pers). Forfait 3 (8h-22h): 750€ (50 pers). Forfait 4 (8h-22h): 1000€ (100 pers).,"5 tables rectangulaires, chaises plastiques selon forfait","Pour événements utilisant la piscine: maître-nageur ou pompier obligatoire aux frais de l’organisateur (sinon barrière de sécurité installée). Déchets à enlever après l’événement. Acompte 30% à la réservation, solde 48h avant l’événement."
Villa Fête Journée Sainte-Luce,"Sainte-Luce, près de la Forêt Montravail",Location à la journée,Jusqu’à 40 personnes,"390€ pour 20 personnes, 560€ pour 40 personnes","3 tentes, 3 salons extérieurs, 2 grandes tables, 1 réfrigérateur, évier extérieur, douche, WC, système son JBL","Horaires: 10h-18h (flexible). Caution: 800€ par chèque. Covoiturage recommandé. Paiement sans frais possible, tout doit être réglé avant entrée."
Espace Piscine Journée Bungalow,Non précisé,Location à la journée + Bungalow,10 à 150 personnes,"Forfaits Journée (9h-19h): Jusqu’à 20 invités 350€, Jusqu’à 40 invités: 550€, Jusqu’à 60 invités: 750€, Bungalow pour 2 personnes: +85€/nuit","Cuisine, salle d’eau, mobilier (chaises, tables), chambre climatisée (+80€ supplémentaire)","Location de 9h à 19h uniquement (pas de possibilité au-delà de 19h). Tarifs uniquement pour anniversaires, baby-showers et enterrements de vie. Caution: 1000€ par chèque + 250€ en espèces . Autres forfaits sur demande selon type d’événement (mariage, baptême, etc.)."
Villa F6 sur Petit Macabou (séjour + fête),Petit Macabou au Vauclin (972),F6,10 à 13 personnes ( jusqu’à 30 invités pour fêtes ),"Weekend: 2000€, Semaine: à partir de 3220€","3 chambres climatisées avec salle de bain attenante, 1 mezzanine, 2 studios aux extrémités, possibilité de louer 3 bungalows supplémentaires avec bac à punch",Villa somptueuse et très spacieuse. Événements ou fêtes autorisés de 9h à 19h. Mariage ou baptême avec hébergements sur demande jusqu’à 150 invités. Covoiturage recommandé. Caution: 2500€ par chèque.
